6 46 56 65 71 79 86
6 96 106 115 121 129 136
6 47 149 158 164 172 179
6 148 194 203 209 217 224
6 233 243 252 258 266 273
6 61 289 298 304 312 319
6 83 290 331 337 345 352
6 361 371 380 386 394 401
6 153 410 419 425 433 440
6 83 295 450 456 464 471
6 183 401 487 493 501 508
6 61 304 372 519 527 534
6 544 554 563 569 577 584
6 148 227 598 604 612 619
6 155 634 643 649 657 664
6 61 318 522 675 683 690
6 59 372 704 710 718 725
6 82 738 747 753 761 768
6 61 294 460 654 779 786
6 497 803 812 818 826 833
6 66 430 846 852 860 867
6 61 285 334 703 881 888
6 61 289 319 346 525 899
6 23 913 922 928 936 943
6 61 635 953 959 967 974
6 53 984 993 999 1007 1014
6 83 322 492 537 957 1029
6 184 298 450 515 942 1042
6 49 509 1019 1056 1064 1071
6 82 211 435 799 1084 1091
6 146 968 1107 1113 1121 1128
6 47 220 505 1100 1144 1151
2 206 1166
6 192 491 807 1082 1177 1184
6 221 1103 1200 1206 1214 1221
6 59 223 415 527 950 1233
6 17 1244 1253 1259 1267 1274
6 30 1289 1298 1304 1312 1319
6 834 1252 1336 1342 1350 1357
6 83 222 419 953 1369 1376
6 50 148 322 597 1386 1393
6 23 430 712 948 1403 1410
6 155 304 635 786 1425 1432
6 282 300 343 469 695 1419
6 224 294 449 463 680 1028
6 61 259 469 727 1456 1463
6 83 308 1391 1476 1484 1491
6 53 222 598 748 1142 1503
6 167 908 1205 1328 1512 1519
6 349 830 1532 1538 1546 1553
6 61 300 460 519 1564 1571
6 61 304 517 789 1580 1587
6 148 563 1603 1609 1617 1624
6 153 598 1506 1637 1645 1652
6 201 372 492 1032 1237 1664
6 83 319 680 1089 1675 1682
6 25 371 701 1109 1692 1699
6 107 1409 1716 1722 1730 1737
6 157 612 1415 1751 1759 1766
6 48 181 304 1088 1778 1785
6 153 556 848 943 1518 1800
6 74 1147 1813 1819 1827 1834
6 203 491 1171 1845 1853 1860
6 53 984 1018 1870 1878 1885
6 61 288 311 324 521 1919
6 148 597 1929 1935 1943 1950
6 167 491 847 1367 1961 1968
6 701 948 1340 1979 1987 1994
6 52 284 294 322 517 1811
6 27 527 989 1695 2013 2020
6 155 1105 2035 2041 2049 2056
6 61 292 371 475 681 1443
6 361 1904 2076 2082 2090 2097
6 149 426 973 1508 2112 2119
6 148 809 2130 2136 2144 2151
6 151 286 324 536 957 2161
6 770 840 2172 2178 2186 2193
6 272 2209 2218 2224 2232 2239
6 406 1130 2253 2259 2267 2274
6 157 2287 2296 2302 2310 2317
6 157 726 1035 1265 1663 2330
6 146 714 1207 2339 2347 2354
6 223 701 806 832 1669 2366
6 155 295 343 470 880 2008
6 153 616 2262 2387 2395 2402
6 184 327 492 698 1179 2412
6 184 978 2425 2431 2439 2446
6 435 1212 2022 2458 2466 2473
6 83 304 1234 2071 2488 2495
6 66 221 527 1080 1949 2514
6 61 293 327 492 683 2504
6 61 282 943 1547 2536 2543
6 184 626 1849 2414 2559 2566
6 49 282 314 455 729 1240
6 60 198 418 748 1381 2116
6 148 222 706 1113 2473 2588
6 50 464 701 1032 1237 1914
6 186 428 1369 1892 2608 2615
6 58 192 469 954 1115 2324
6 182 458 957 1110 2617 2638
6 610 1736 2647 2653 2661 2668
6 454 2673 2684 2690 2698 2705
6 192 720 1090 1360 2684 2720
6 13 1242 2730 2736 2744 2751
6 151 859 1796 2331 2762 2769
6 83 308 387 1894 2083 2781
6 167 597 1182 2585 2797 2804
0
6 192 701 937 1240 2816 2823
6 90 556 859 1351 1801 2833
6 677 2844 2853 2859 2867 2874
6 242 1620 2883 2889 2897 2904
6 49 153 371 985 1005 2168
6 371 704 1663 2047 2926 2933
6 182 815 927 1125 2634 2948
6 151 289 346 480 906 1461
6 155 296 452 640 1420 2635
6 580 1235 2975 2981 2989 2996
6 58 759 1400 2585 3009 3016
6 57 184 498 1035 1787 3028
6 59 383 727 1240 3038 3045
6 61 289 397 531 973 2506
6 83 845 1663 2331 3062 3069
6 48 211 1510 3079 3087 3094
6 61 289 338 455 683 1043
6 61 282 294 356 529 1432
6 244 3112 3121 3127 3135 3142
6 83 295 338 492 539 1000
6 83 296 455 522 698 1420
6 61 319 522 906 1587 2966
6 8 286 680 963 3163 3170
6 61 289 312 327 453 882
6 50 221 412 904 1455 2506
6 184 483 701 969 1861 3202
6 120 210 439 1088 3211 3218
6 48 505 908 1113 2429 3230
