nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/5050]
Init social model
Using adagrad ...
Params [lbd-U: 1.0000|lbd-V: 0.1000|lbd-N: 1.0000|lbd-Q: 0.0100]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170226164406495 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000464 -22667.00000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000910 -15035.76905:[16072.04477:-411.88380:-3985.57743] 0.3366670028
0003 001367 -5176.48628:[35776.24015:-403.83356:-2733.83769] 0.6557218812
0004 001816 -4485.48087:[37389.15223:-515.45779:-2236.14032] 0.1334892777
0005 002250 -4155.21732:[38243.63822:-611.60871:-1927.38620] 0.0736294636
0006 002673 -3962.93591:[38795.15481:-694.64991:-1719.93675] 0.0462746933
0007 003096 -3844.13759:[39174.87753:-765.55915:-1573.53075] 0.0299773508
0008 003518 -3768.09185:[39447.07803:-825.59732:-1466.84966] 0.0197822643
0009 003946 -3718.14354:[39647.74020:-876.03213:-1387.29274] 0.0132555969
0010 004376 -3684.59621:[39798.76504:-918.08324:-1326.93266] 0.0090226022
0011 004787 -3661.55693:[39914.27594:-952.90234:-1280.53113] 0.0062528640
0012 005178 -3645.35136:[40003.77254:-981.55612:-1244.49128] 0.0044258677
0013 005538 -3633.65204:[40073.85323:-1005.01143:-1216.26753] 0.0032093822
0014 005856 -3624.96821:[40129.22065:-1024.12587:-1194.01492] 0.0023898357
0015 006153 -3618.33591:[40173.29847:-1039.64525:-1176.37054] 0.0018296158
0016 006428 -3613.12577:[40208.62400:-1052.20738:-1162.31195] 0.0014399264
0017 006707 -3608.92249:[40237.10601:-1062.35025:-1151.06248] 0.0011633369
0018 006985 -3605.44867:[40260.19839:-1070.52266:-1142.02605] 0.0009625643
0019 007261 -3602.51644:[40279.02020:-1077.09576:-1134.74127] 0.0008132773
0020 007539 -3599.99652:[40294.44022:-1082.37436:-1128.84853] 0.0006994883
0021 007815 -3597.79835:[40307.13786:-1086.60748:-1124.06594] 0.0006106036
0022 008096 -3595.85722:[40317.64766:-1089.99769:-1120.17139] 0.0005395337
0023 008361 -3594.12589:[40326.39238:-1092.70924:-1116.98923] 0.0004814788
0024 008626 -3592.56910:[40333.70782:-1094.87495:-1114.38001] 0.0004331463
0025 008887 -3591.15994:[40339.86180:-1096.60206:-1112.23272] 0.0003922432
0026 009152 -3589.87738:[40345.06862:-1097.97697:-1110.45871] 0.0003571451
0027 009414 -3588.70464:[40349.50031:-1099.06925:-1108.98705] 0.0003266785
0028 009661 -3587.62811:[40353.29536:-1099.93484:-1107.76087] 0.0002999776
0029 009913 -3586.63653:[40356.56554:-1100.61870:-1106.73445] 0.0002763899
0030 010151 -3585.72045:[40359.40132:-1101.15693:-1105.87101] 0.0002554146
0031 010387 -3584.87185:[40361.87607:-1101.57854:-1105.14088] 0.0002366597
0032 010623 -3584.08385:[40364.04953:-1101.90679:-1104.52007] 0.0002198136
