nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp3/5050]
Init social model
Using adagrad ...
Params [lbd-U: 0.1000|lbd-V: 10.0000|lbd-N: 0.1000|lbd-Q: 0.0100]
Staring Sample 3 - Loc: save/ctr/delicious-alg80-sp3-cold20170226164406290 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000519 -28125.00000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 001025 -18418.90220:[20603.29391:-442.06785:-5022.99769] 0.3451056997
0003 001540 -10066.88069:[41555.38257:-2541.41026:-4265.15821] 0.4534483878
0004 002040 -9691.97993:[43053.30345:-2925.59931:-3880.65566] 0.0372410051
0005 002510 -9526.75767:[43715.15469:-3107.28698:-3679.07458] 0.0170473179
0006 002971 -9425.21181:[44061.74831:-3199.96659:-3564.09489] 0.0106590154
0007 003420 -9351.91839:[44260.61441:-3247.89050:-3493.19506] 0.0077763164
0008 003852 -9295.02061:[44383.57281:-3273.02379:-3446.47800] 0.0060840753
0009 004274 -9249.51135:[44464.93403:-3286.63494:-3413.98759] 0.0048960902
0010 004687 -9212.66346:[44522.15947:-3294.49499:-3390.41963] 0.0039837665
0011 005098 -9182.65331:[44564.58097:-3299.53246:-3372.77698] 0.0032574888
0012 005513 -9158.12162:[44597.40842:-3303.21219:-3359.27112] 0.0026715246
0013 005866 -9138.00966:[44623.67988:-3306.25130:-3348.77747] 0.0021960793
0014 006188 -9121.48040:[44645.24914:-3308.98918:-3340.55302] 0.0018088476
0015 006505 -9107.86776:[44663.30251:-3311.57741:-3334.08334] 0.0014923718
0016 006804 -9096.63887:[44678.63664:-3314.07640:-3328.99670] 0.0012328775
0017 007110 -9087.36506:[44691.81144:-3316.50397:-3325.01445] 0.0010194761
0018 007414 -9079.69959:[44703.23661:-3318.85940:-3321.92155] 0.0008435316
0019 007711 -9073.36052:[44713.22198:-3321.13508:-3319.54836] 0.0006981583
0020 008003 -9068.11759:[44722.00805:-3323.32190:-3317.75894] 0.0005778380
0021 008294 -9063.78183:[44729.78528:-3325.41162:-3316.44309] 0.0004781316
0022 008585 -9060.19754:[44736.70690:-3327.39771:-3315.51079] 0.0003954519
0023 008881 -9057.23590:[44742.89766:-3329.27560:-3314.88803] 0.0003268847
0024 009175 -9054.78992:[44748.46023:-3331.04259:-3314.51365] 0.0002700583
0025 009474 -9052.77024:[44753.48005:-3332.69760:-3314.33671] 0.0002230507
0026 009755 -9051.10171:[44758.02905:-3334.24091:-3314.31443] 0.0001843120
0027 010024 -9049.72065:[44762.16833:-3335.67385:-3314.41061] 0.0001525842
0028 010292 -9048.57293:[44765.95016:-3336.99855:-3314.59449] 0.0001268247
0029 010561 -9047.61240:[44769.41933:-3338.21771:-3314.84004] 0.0001061524
0030 010830 -9046.79971:[44772.61436:-3339.33444:-3315.12520] 0.0000898239
0031 011098 -9046.10120:[44775.56855:-3340.35222:-3315.43132] 0.0000772104
0032 011366 -9045.48805:[44778.31084:-3341.27475:-3315.74263] 0.0000677806
